城市,岗位名称,公司名称,薪资,地点
上海,Python高级工程师,上海墨帝教育科技服务有限公司,1.5-2.5万·13薪,上海·青浦区
上海,python开发工程师,深圳建广数字科技有限公司青岛分公司,1.3-1.6万,上海·浦东新区
上海,python开发工程师-上海,中软国际科技服务有限公司,1-1.8万,上海
上海,python后端开发工程师,上海翼多翼得健康科技有限公司,1.5-3万,上海·普陀区
上海,python开发工程师(A67413),上海图灵智算量子科技有限公司,1.5-2万·14薪,上海·闵行区
上海,python全栈工程师,凯捷咨询（中国）有限公司,1.8-2.1万·13薪,上海·浦东新区
上海,python开发,深圳市睿服科技有限公司,1.5-1.8万,上海
上海,Python爬虫工程师（初级）,上海融和元储能源有限公司,1.5-2万·13薪,上海·青浦区
上海,Python工程师(J10563),立信会计师事务所（特殊普通合伙）,1.2-2.2万,上海·黄浦区
上海,AI本地化部署工程师,上海东松医疗科技股份有限公司,1-1.5万,上海·黄浦区
上海,Python 研发工程师（AI 智能体方向）,上海国茂数字技术有限公司,1.5-2.5万,上海·长宁区
上海,大模型应用开发工程师,锐仕方达（昆山）人力资源有限公司,1.5-3万,上海·浦东新区
上海,Python开发工程师,上海鑫测信息技术有限公司,1.8-3.5万,上海·浦东新区
上海,AI Python后端研发工程师,恩士迅信息科技（中国）有限责任公司,1-1.5万,上海
上海,AI Agent开发工程师,百林科医药科技（上海）股份有限公司,2.3-3万·13薪,上海·浦东新区
上海,软件工程师,北京极光星通科技有限公司,1.5-3万·14薪,上海·闵行区
上海,Python后端工程师,上海远宽能源科技有限公司,1.7-2.5万·14薪,上海·杨浦区
上海,python开发,深圳市睿服科技有限公司,1.5-1.8万,上海
上海,Python工程师(J10563),立信会计师事务所（特殊普通合伙）,1.2-2.2万,上海·黄浦区
上海,大模型应用开发工程师,锐仕方达（昆山）人力资源有限公司,1.5-3万,上海·浦东新区
上海,python开发工程师,深圳建广数字科技有限公司青岛分公司,1.3-1.6万,上海·浦东新区
上海,python开发工程师,上海微创软件股份有限公司,1.2-1.9万,上海
